Company,Amount ($M),Date,HQ,Sector,Series,Source,Investors
Happie Curves,$0.02,17/11/2023,Gurugram,General,,https://entrackr.com/2023/11/happie-curves-raises-rs-20-lakh-on-indian-angels-ott-show/,
CENTA,$1.00,17/11/2023,Bengaluru,Edtech,,https://entrackr.com/2023/11/teacher-accreditation-startup-centa-raises-1-mn/,
Inito,$6.00,16/11/2023,Bengaluru,General,Series A,https://entrackr.com/2023/11/fertility-monitor-app-inito-raises-6-mn-led-by-fireside/,Fireside;Fireside Ventures
Slice,$9.00,14/11/2023,Guwahati,Fintech,Series C,https://entrackr.com/2023/11/exclusive-slice-raises-debt-from-stride-ventures/,
Bakingo,$16.00,13/11/2023,Gurugram,General,,https://entrackr.com/2023/11/bakingo-raises-16-mn-from-faering-capital/,
General Autonomy,$3.00,13/11/2023,India,Deeptech & AI,Seed,https://yourstory.com/2023/11/sharechat-co-founders-robotics-startup-general-autonomy-funding,
Happy Nature,$0.30,16/11/2023,Delhi,D2C,Pre-Series A,https://entrackr.com/2023/11/ipv-leads-300k-pre-series-a-round-in-d2c-brand-happy-nature/,Inflection Point Ventures
DeHaat,,14/11/2023,India,Agritech,Acquisition,https://entrackr.com/2023/11/dehaat-acquires-fruit-export-biz-of-freshtrop-fruits/,DeHaat
Breathe ESG,$0.32,14/11/2023,India,SaaS,Pre-Seed,https://entrackr.com/2023/11/breathe-esg-secures-315k-in-pre-seed-round/,100X.VC;KANJ Realty Ventures;Hyderabad Angels;Vipul Jain;Pradeep Lala;Prashant Naik
Shadowfax,,15/11/2023,India,Logistics,Undisclosed,https://inc42.com/buzz/cci-greenlights-miraes-proposal-to-acquire-stake-in-logistics-major-shadowfax/,Mirae Asset
CoverSelf,$8.20,15/11/2023,India,Fintech,Seed,https://inc42.com/buzz/coverself-gets-8-2-mn-from-beenext-3one4-to-streamline-healthcare-claims-payments/,"3one4 Capital, BEENEXT;3one4 Capital;BEENEXT;Z21 Ventures"
DeHaat,,15/11/2023,India,Agritech,Acquisition,https://yourstory.com/2023/11/startup-news-updates-daily-roundup-paytm-travel-november-15,DeHaat
